id,name,sell,process,stats,obtained_monster,obtained_map,type,image_paths
1119,Grass Dragon Yelb,1 Spina,2 Mana,ATK %: 3; ASPD %: 50; Long Range Damage %: -10,Grass Dragon Yelb(Lv 73) (ID: 323); Grass Dragon Yelb(Lv 63) (ID: 905); Grass Dragon Yelb(Lv 83) (ID: 906); Grass Dragon Yelb(Lv 93) (ID: 907); Grass Dragon Yelb(Lv 113) (ID: 908),Albatif Village; Albatif Village; Albatif Village; Albatif Village; Albatif Village,Additional Crysta,[]
1120,Super Refinement Powder,0 Spina,,Refine Success Rate %: 10,Golden Potum (7M DL)(Lv 100) (ID: 963); Golden Potum (11M DL)(Lv 100) (ID: 1986); Golden Potum (11M DL)(Lv 100) (ID: 1985); Golden Potum (11M DL)(Lv 100) (ID: 1984); Golden Potum (11M DL)(Lv 100) (ID: 1983); Usasama the Necromancer(Lv 215) (ID: 1799); Golden Potum (7M DL)(Lv 100) (ID: 966); Golden Potum (7M DL)(Lv 100) (ID: 965); Golden Potum (7M DL)(Lv 100) (ID: 964); Golden Potum (11M DL)(Lv 100) (ID: 1987),Wanderer's Plain; Wanderer's Plain; Darkanon Plain; Yorl Highlands; Rakau Plains; Event; Rakau Plains; Yorl Highlands; Darkanon Plain; Tolbas GrassLand,Refinement Support,[]
1121,Green Mushroom,10 Spina,5 Medicine,HP: 250,Moss Mushroom(Lv 60) (ID: 322); Moss Mushroom(Lv 60) (ID: 327),Vyshed the Tainted Land: Area 1; Vyshed the Tainted Land: Area 2,Usable,[]
1122,VIT+3,1 Spina,2 Mana,VIT: 3,Colon Zombie(Lv 57) (ID: 319); Colon Zombie(Lv 59) (ID: 324); Colon Zombie(Lv 59) (ID: 325),Vyshed the Tainted Land: Area 1; Vyshed the Tainted Land: Area 1; Vyshed the Tainted Land: Area 2,Normal Crysta,[]
1123,Eyepatch,27 Spina,13 Cloth,Base DEF: 10; Stability %: -2; Accuracy %: -10; Critical Rate: 4; Critical Damage: 2,Glasch(Lv 46) (ID: 318); Glasch(Lv 47) (ID: 328),Fabizo Boundary; Fabizo Boundary,Additional,"['appearance/additional/eyepatch_male', 'appearance/additional/eyepatch_female']"
1124,Feather Hat,20 Spina,10 Cloth,Base DEF: 13; AGI %: 2; MaxMP: 200; Aggro %: -3; Bow only:Long Range Damage %: 1,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/feather hat_male', 'appearance/additional/feather hat_female']"
1125,Golden Apple,100 Spina,,,Golden Coryn (2018)(Lv 100) (ID: 1152); Golden Coryn (2020)(Lv 108) (ID: 2030); Golden Coryn (2020)(Lv 107) (ID: 2029); Golden Coryn (2020)(Lv 106) (ID: 2028); Golden Coryn (2020)(Lv 105) (ID: 2027); Golden Coryn (2019)(Lv 104) (ID: 2026); Golden Coryn (2019)(Lv 103) (ID: 2025); Golden Coryn (2019)(Lv 102) (ID: 2024); Golden Coryn (2019)(Lv 101) (ID: 2023); Golden Coryn (2019)(Lv 100) (ID: 2022); Golden Coryn (2018)(Lv 100) (ID: 1155); Golden Coryn (2018)(Lv 100) (ID: 1154); Golden Coryn (2018)(Lv 100) (ID: 1153); Golden Coryn (2020)(Lv 109) (ID: 2031),Rakau Plains; Wanderer's Plain; Darkanon Plain; Yorl Highlands; Rakau Plains; Tolbas GrassLand; Wanderer's Plain; Darkanon Plain; Yorl Highlands; Rakau Plains; Wanderer's Plain; Darkanon Plain; Yorl Highlands; Tolbas GrassLand,Material,[]
1127,Adventurer's Garb,1 Spina,1 Cloth,Base DEF: 9; Weapon ATK %: 1,Golden Coryn (2016)(Lv 100) (ID: 329); Golden Coryn (2016)(Lv 100) (ID: 331); Golden Coryn (2016)(Lv 100) (ID: 329); Golden Coryn (2016)(Lv 100) (ID: 330),5 B C; Rakau Plains; A B C; Darkanon Plain; A B C; Rakau Plains; 1 B C; Yorl Highlands,Armor,"[""appearance/armor/adventurer's garb (normal)_male"", ""appearance/armor/adventurer's garb (normal)_female"", ""appearance/armor/adventurer's garb (light)_male"", ""appearance/armor/adventurer's garb (light)_female"", ""appearance/armor/adventurer's garb (heavy)_male"", ""appearance/armor/adventurer's garb (heavy)_female""]"
1128,Mage Hat,7 Spina,3 Cloth,Base DEF: 4; Weapon ATK %: 1,Golden Coryn (2016)(Lv 100) (ID: 330); Golden Coryn (2016)(Lv 100) (ID: 331),A B 5; Yorl Highlands; A B 1; Darkanon Plain,Additional,"['appearance/additional/mage hat_male', 'appearance/additional/mage hat_female']"
1129,Ribbon,2 Spina,2 Cloth,Base DEF: 1; Weapon ATK %: 1,Golden Coryn (2016)(Lv 100) (ID: 330); Golden Coryn (2016)(Lv 100) (ID: 331),A B C; Yorl Highlands; A B C; Darkanon Plain,Additional,"['appearance/additional/ribbon_male', 'appearance/additional/ribbon_female']"
1130,Headband,10 Spina,5 Cloth,Base DEF: 4; Weapon ATK %: 1,Golden Coryn (2016)(Lv 100) (ID: 329),A B C; Rakau Plains,Additional,"['appearance/additional/headband_male', 'appearance/additional/headband_female']"
1131,Maze Gem,1 Spina,,Drop Rate %: 100,,,Gem,[]
1132,Outer World Liquid,7 Spina,7 Medicine,,White Jelly(Lv 48) (ID: 333); White Jelly(Lv 49) (ID: 334),Road to Another World: Area 1; Road to Another World: Area 2,Material,[]
1133,White Gelatin,5 Spina,7 Medicine,Dodge %: 10; Evasion Recharge %: 1,White Jelly(Lv 48) (ID: 333); White Jelly(Lv 49) (ID: 334),Road to Another World: Area 1; Road to Another World: Area 2,Usable,[]
1134,Outer World Sand,9 Spina,10 Metal,,White Jelly(Lv 48) (ID: 333); White Jelly(Lv 49) (ID: 334),Road to Another World: Area 1; Road to Another World: Area 2,Material,[]
1135,Outer World Crystal,7 Spina,8 Metal,,Kijimu(Lv 50) (ID: 335); Kijimu(Lv 51) (ID: 336); Kijimu(Lv 49) (ID: 909),Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 1,Material,[]
1136,Uncanny Hide,5 Spina,4 Cloth,,Kijimu(Lv 50) (ID: 335); Kijimu(Lv 51) (ID: 336); Kijimu(Lv 49) (ID: 909),Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 1,Material,[]
1137,Cold Sphere,9 Spina,2 Mana,,Kijimu(Lv 50) (ID: 335); Kijimu(Lv 51) (ID: 336); Kijimu(Lv 49) (ID: 909),Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 1,Material,[]
1138,Outer World Skin,5 Spina,5 Cloth,,Astron(Lv 50) (ID: 337); Astron(Lv 51) (ID: 338); Astron(Lv 50) (ID: 339); Astron(Lv 52) (ID: 340),Road to Another World: Area 1; Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 2,Material,[]
1139,Huge Mouth,7 Spina,7 Beast,,Astron(Lv 50) (ID: 337); Astron(Lv 51) (ID: 338); Astron(Lv 50) (ID: 339); Astron(Lv 52) (ID: 340); Avalan(Lv 68) (ID: 1012); Avalan(Lv 70) (ID: 1019),Road to Another World: Area 1; Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 2; Navida City: Crossroad (60-80); Navida City: East (60-80),Material,[]
1140,Mysterious Sphere,9 Spina,2 Mana,,Astron(Lv 50) (ID: 337); Astron(Lv 51) (ID: 338); Astron(Lv 50) (ID: 339); Astron(Lv 52) (ID: 340),Road to Another World: Area 1; Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 2,Material,[]
1141,Wizard Hat,25 Spina,12 Cloth,Base DEF: 17; INT %: 2; MATK %: 1; Magic Resistance %: 3; Dark resistance %: 4,Astron(Lv 50) (ID: 337); Astron(Lv 51) (ID: 338); Astron(Lv 50) (ID: 339); Astron(Lv 52) (ID: 340),Road to Another World: Area 1; Road to Another World: Area 1; Road to Another World: Area 2; Road to Another World: Area 2,Additional,"['appearance/additional/wizard hat_male', 'appearance/additional/wizard hat_female']"
1142,Vivid Skin,6 Spina,6 Cloth,,Glow Ray(Lv 60) (ID: 341); Glow Ray(Lv 61) (ID: 342); Glow Ray(Lv 62) (ID: 343),Gate to Another World: Area 1; Gate to Another World: Area 2; Gate to Another World: Area 2,Material,[]
1143,Ray Fin,9 Spina,10 Medicine,,Glow Ray(Lv 60) (ID: 341); Glow Ray(Lv 61) (ID: 342); Glow Ray(Lv 62) (ID: 343),Gate to Another World: Area 1; Gate to Another World: Area 2; Gate to Another World: Area 2,Material,[]
1144,Outer World Tail,10 Spina,9 Beast,,Glow Ray(Lv 60) (ID: 341); Glow Ray(Lv 61) (ID: 342); Glow Ray(Lv 62) (ID: 343),Gate to Another World: Area 1; Gate to Another World: Area 2; Gate to Another World: Area 2,Material,[]
1145,Steel Leaf Bow,50 Spina,25 Metal,Base ATK: 33; DEX %: 1; ATK %: 2; Dodge %: 1; Critical Damage: 2; Base Stability %: 60; Attack Range (m): 10,Glow Ray(Lv 60) (ID: 341); Glow Ray(Lv 61) (ID: 342); Glow Ray(Lv 62) (ID: 343),Gate to Another World: Area 1; Gate to Another World: Area 2; Gate to Another World: Area 2,Bow,"['appearance/bow/steel leaf bow_male', 'appearance/bow/steel leaf bow_female']"
1146,Star Fragment,6 Spina,6 Metal,,Planet Head (Green)(Lv 62) (ID: 344); Planet Head (Green)(Lv 64) (ID: 345),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1147,Outer World Arm,8 Spina,8 Beast,,Planet Head (Green)(Lv 62) (ID: 344); Planet Head (Green)(Lv 64) (ID: 345),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1148,Outer World Planet,10 Spina,3 Mana,,Planet Head (Green)(Lv 62) (ID: 344); Planet Head (Green)(Lv 64) (ID: 345),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1149,Scale Shield,50 Spina,25 Beast,Base DEF: 5; Guard Power %: 10; Guard Recharge %: 25; Aggro %: 2,Planet Head (Green)(Lv 62) (ID: 344); Planet Head (Green)(Lv 64) (ID: 345),Gate to Another World: Area 1; Gate to Another World: Area 2,Shield,"['appearance/shield/scale shield_male', 'appearance/shield/scale shield_female']"
1150,Star Sand,6 Spina,6 Metal,,Planet Head (Purple)(Lv 63) (ID: 346); Planet Head (Purple)(Lv 63) (ID: 347),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1151,Shining Shooting Star,10 Spina,3 Mana,,Planet Head (Purple)(Lv 63) (ID: 346); Planet Head (Purple)(Lv 63) (ID: 347),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1152,Outer World Nail,8 Spina,7 Beast,,Planet Head (Purple)(Lv 63) (ID: 346); Planet Head (Purple)(Lv 63) (ID: 347),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1153,Curled Horns,30 Spina,15 Beast,Base DEF: 21; MATK %: 2; Stability %: 4,Planet Head (Purple)(Lv 63) (ID: 346); Planet Head (Purple)(Lv 63) (ID: 347),Gate to Another World: Area 1; Gate to Another World: Area 2,Additional,"['appearance/additional/curled horns_male', 'appearance/additional/curled horns_female']"
1154,Oracle Robe,55 Spina,27 Cloth,Base DEF: 39; MaxMP: 50; CSPD: 300; Dark resistance %: 7; Attack MP Recovery: 3,Outer World Wolf(Lv 70) (ID: 348); Outer World Wolf(Lv 70) (ID: 349),A B C; Gate to Another World: Area 1; A B C; Gate to Another World: Area 2,Armor,"['appearance/armor/oracle robe (normal)_male', 'appearance/armor/oracle robe (normal)_female', 'appearance/armor/oracle robe (light)_male', 'appearance/armor/oracle robe (light)_female', 'appearance/armor/oracle robe (heavy)_male', 'appearance/armor/oracle robe (heavy)_female']"
1155,Outer World Pebble,8 Spina,8 Metal,,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Material,[]
1156,Shining Soul Stone,16 Spina,4 Mana,,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Material,[]
1157,Cracked Face Stone,12 Spina,12 Metal,,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Material,[]
1158,Nurethoth's Hard Claw,13 Spina,14 Beast,,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Material,[]
1159,Outer World Universe,20 Spina,5 Mana,,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Material,[]
1160,Outerworld Armor,65 Spina,32 Mana,Base DEF: 47; STR: 6; INT: 6; ATK %: 3; MATK %: 3; MDEF %: 12; Magic Resistance %: 6; Light resistance %: 3; Dark resistance %: 3,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Armor,"['appearance/armor/outerworld armor (normal)_male', 'appearance/armor/outerworld armor (normal)_female', 'appearance/armor/outerworld armor (light)_male', 'appearance/armor/outerworld armor (light)_female', 'appearance/armor/outerworld armor (heavy)_male', 'appearance/armor/outerworld armor (heavy)_female']"
1161,Odd-Shaped Knife,60 Spina,30 Mana,Base ATK: 72; MDEF %: -33; Critical Damage: 3; Critical Damage %: 3; Base Stability %: 0,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Dagger,[]
1162,Shooting Star Arrow,60 Spina,30 Mana,Base ATK: 58; Stability %: -50; Critical Rate: 25; Base Stability %: 1; Bowgun only:ASPD: 250,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Arrow,[]
1163,Nurethoth Mask,32 Spina,16 Metal,Base DEF: 100; MaxHP %: 60; Ailment Resistance %: -30; Motion Speed %: -15,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 66) (ID: 910); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Additional,"['appearance/additional/nurethoth mask_male', 'appearance/additional/nurethoth mask_female']"
1164,Nurethoth,1 Spina,2 Mana,ATK %: 3; MATK %: 3; ASPD: -150; CSPD: -150,Nurethoth(Lv 76) (ID: 350); Nurethoth(Lv 86) (ID: 911); Nurethoth(Lv 96) (ID: 912); Nurethoth(Lv 116) (ID: 913),Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front; Gate to Another World: Front,Normal Crysta,[]
1165,Afro Wig,40 Spina,20 Cloth,Base DEF: 30; Critical Rate: 15; Critical Damage: -30; Attack MP Recovery: 2,Death Colon(Lv 84) (ID: 332),Vyshed the Tainted Land: Area 2,Additional,"['appearance/additional/afro wig_male', 'appearance/additional/afro wig_female']"
1166,Space Wolf Fur,8 Spina,9 Cloth,,Outer World Wolf(Lv 70) (ID: 348); Outer World Wolf(Lv 70) (ID: 349),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1167,Space Wolf Horn,10 Spina,10 Beast,,Outer World Wolf(Lv 70) (ID: 348); Outer World Wolf(Lv 70) (ID: 349),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1168,Space Wolf Claw,6 Spina,6 Beast,,Outer World Wolf(Lv 70) (ID: 348); Outer World Wolf(Lv 70) (ID: 349),Gate to Another World: Area 1; Gate to Another World: Area 2,Material,[]
1169,Berserker Blade,Unknown,unknown,Base ATK: 109; MaxHP %: -12; ATK %: 2; Accuracy: 10; ASPD: 250; Base Stability %: 70,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/berserker blade_male', 'appearance/2 handed sword/berserker blade_female']"
1170,Fortis Blade,50 Spina,25 Metal,Base ATK: 82; ATK %: 2; Physical Pierce %: 15; DEF: 20; Guard Recharge %: 10; Base Stability %: 70,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/fortis blade_male', 'appearance/2 handed sword/fortis blade_female']"
1171,Berserker Cestuses,Unknown,unknown,Base ATK: 51; DEX: 4; MaxHP %: 8; ATK %: 2; Dark Element: 1; Motion Speed %: 1; Base Stability %: 90,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Knuckles,"['appearance/knuckles/berserker cestuses_male', 'appearance/knuckles/berserker cestuses_female']"
1172,Lightweight Knife,Unknown,unknown,Base ATK: 33; Magic Resistance %: -10; ASPD: 100; Evasion Recharge %: 15; Base Stability %: 0,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Dagger,[]
1173,Magic Swordsman's Garb,Unknown,unknown,Base DEF: 40; STR %: 2; INT %: 2; ASPD: 200; CSPD: 400; Dark resistance %: -10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Armor,"[""appearance/armor/magic swordsman's garb (normal)_male"", ""appearance/armor/magic swordsman's garb (normal)_female"", ""appearance/armor/magic swordsman's garb (light)_male"", ""appearance/armor/magic swordsman's garb (light)_female"", ""appearance/armor/magic swordsman's garb (heavy)_male"", ""appearance/armor/magic swordsman's garb (heavy)_female""]"
1174,Magic Swordsman's Coat,Unknown,unknown,Base DEF: 20; STR %: 1; INT %: 1; ASPD: 300; CSPD: 100; Dark resistance %: -10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"[""appearance/additional/magic swordsman's coat_male"", ""appearance/additional/magic swordsman's coat_female""]"
1175,Dragon Ears,Unknown,unknown,Base DEF: 13; STR: 3; Critical Damage %: 5; Wind resistance %: -5,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/dragon ears_male', 'appearance/additional/dragon ears_female']"
1176,Mushroom Cap,Unknown,unknown,Base DEF: 30; VIT: 1; Fire resistance %: -2; Ailment Resistance %: 20,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/mushroom cap_male', 'appearance/additional/mushroom cap_female']"
1177,White Clover Headband,27 Spina,13 Medicine,Base DEF: 9; Accuracy: -20; Critical Rate: 10; Earth resistance %: 3,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/white clover headband_male', 'appearance/additional/white clover headband_female']"
1178,Berserker Blade,Unknown,unknown,Base ATK: 109; Base Stability %: 70; Potential: 25,,[Player] Smith Skill,2 Handed Sword,"['appearance/2 handed sword/berserker blade_male', 'appearance/2 handed sword/berserker blade_female']"
1179,Fortis Blade,50 Spina,25 Metal,Base ATK: 82; Base Stability %: 70; Potential: 23,,[Player] Smith Skill,2 Handed Sword,"['appearance/2 handed sword/fortis blade_male', 'appearance/2 handed sword/fortis blade_female']"
1180,Berserker Cestuses,Unknown,unknown,Base ATK: 51; Base Stability %: 90; Potential: 25,,[Player] Smith Skill,Knuckles,"['appearance/knuckles/berserker cestuses_male', 'appearance/knuckles/berserker cestuses_female']"
1181,Magic Swordsman's Garb,Unknown,unknown,Base DEF: 40; Potential: 24,,[Player] Smith Skill,Armor,"[""appearance/armor/magic swordsman's garb (normal)_male"", ""appearance/armor/magic swordsman's garb (normal)_female"", ""appearance/armor/magic swordsman's garb (light)_male"", ""appearance/armor/magic swordsman's garb (light)_female"", ""appearance/armor/magic swordsman's garb (heavy)_male"", ""appearance/armor/magic swordsman's garb (heavy)_female""]"
1182,Sparkling Dragon Eye,8 Spina,2 Mana,,Basalt(Lv 49) (ID: 316),Fabizo Boundary,Material,[]
1183,Death Colon,1 Spina,2 Mana,MaxMP: -2000; ASPD: 1000; Short Range Damage %: 10,Death Colon(Lv 84) (ID: 332),Vyshed the Tainted Land: Area 2,Weapon Crysta,[]
1184,Hard Eggshell,5 Spina,6 Metal,,Flying Egg(Lv 51) (ID: 352); Flying Egg(Lv 54) (ID: 355); Flying Egg(Lv 181) (ID: 2887),Maia Diela; Maia Diela; Sable Plains,Material,[]
1185,Small Feather,9 Spina,8 Cloth,,Flying Egg(Lv 51) (ID: 352); Flying Egg(Lv 54) (ID: 355),Maia Diela; Maia Diela,Material,[]
1186,Immature Claw,7 Spina,6 Beast,,Flying Egg(Lv 51) (ID: 352); Flying Egg(Lv 54) (ID: 355),Maia Diela; Maia Diela,Material,[]
1187,Leather Helmet,25 Spina,12 Cloth,Base DEF: 20; MaxHP %: 6; Critical Rate %: 12; Water resistance %: 3,Flying Egg(Lv 51) (ID: 352); Flying Egg(Lv 54) (ID: 355),Maia Diela; Maia Diela,Additional,"['appearance/additional/leather helmet_male', 'appearance/additional/leather helmet_female']"
1188,Dried Walnut,9 Spina,9 Medicine,DEX %: 1; MATK %: 1,Rodentail(Lv 52) (ID: 353); Rodentail(Lv 55) (ID: 354),Maia Diela; Maia Diela,Usable,[]
1189,Bushy Tail,7 Spina,8 Beast,,Rodentail(Lv 52) (ID: 353); Rodentail(Lv 55) (ID: 354),Maia Diela; Maia Diela,Material,[]
1190,Squirrel Fur,5 Spina,5 Cloth,,Rodentail(Lv 52) (ID: 353); Rodentail(Lv 55) (ID: 354); Rodentail(Lv 180) (ID: 2886),Maia Diela; Maia Diela; Sable Plains,Material,[]
1191,Dodge+6,1 Spina,2 Mana,Dodge: 6,Rodentail(Lv 52) (ID: 353); Rodentail(Lv 55) (ID: 354),Maia Diela; Maia Diela,Normal Crysta,[]
1192,Large Withered Leaf,5 Spina,5 Wood,,Ghilly(Lv 53) (ID: 351); Ghilly(Lv 182) (ID: 2888),Maia Diela; Sable Plains,Material,[]
1193,Withered Branch,7 Spina,8 Wood,,Ghilly(Lv 53) (ID: 351),Maia Diela,Material,[]
1194,Leaf Mold,9 Spina,10 Medicine,,Ghilly(Lv 53) (ID: 351),Maia Diela,Material,[]
1195,Ghilly Sheet,25 Spina,12 Cloth,Dodge: 8; ASPD %: -20; CSPD: -20; Aggro %: -40,Ghilly(Lv 53) (ID: 351),Maia Diela,Special,[]
1196,Geometric Feather,6 Spina,6 Beast,,Miragela(Lv 64) (ID: 356); Miragela(Lv 65) (ID: 357),Gravel Terrace; Gravel Terrace,Material,[]
1197,Shining Beak,8 Spina,9 Beast,,Miragela(Lv 64) (ID: 356); Miragela(Lv 65) (ID: 357),Gravel Terrace; Gravel Terrace,Material,[]
1198,White Petal,10 Spina,9 Medicine,,Miragela(Lv 64) (ID: 356); Miragela(Lv 65) (ID: 357); Mewte(Lv 63) (ID: 358); Mewte(Lv 67) (ID: 359); Candela Soda (White Day 2018)(Lv 130) (ID: 1085); Candela Cola (White Day 2018)(Lv 160) (ID: 1086); Santabby(Lv 112) (ID: 1874); Santabby(Lv 115) (ID: 1877); Santabby(Lv 118) (ID: 1881),Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace; Douce Hamlet; Douce Hamlet; Joulu House: Center (Lv 110); Joulu House: Depot (Lv 100); Joulu House: Gift Room (Lv 100),Material,[]
1199,Worn-out Hemp Cloth,6 Spina,7 Cloth,,Mewte(Lv 63) (ID: 358); Mewte(Lv 67) (ID: 359),Gravel Terrace; Gravel Terrace,Material,[]
1200,Twisted Wood Stick,8 Spina,9 Wood,,Mewte(Lv 63) (ID: 358); Mewte(Lv 67) (ID: 359),Gravel Terrace; Gravel Terrace,Material,[]
1201,White Petal,10 Spina,9 Medicine,,,,Material,[]
1202,Nekomimi,32 Spina,16 Beast,Base DEF: 4; AGI %: 2; Wind resistance %: 6; Attack MP Recovery: 3,Mewte(Lv 63) (ID: 358); Mewte(Lv 67) (ID: 359),Gravel Terrace; Gravel Terrace,Additional,"['appearance/additional/nekomimi_male', 'appearance/additional/nekomimi_female']"
1203,Scorpion Tail,10 Spina,10 Beast,,Rock Stinger(Lv 66) (ID: 360); Metal Stinger(Lv 82) (ID: 375); Metal Stinger(Lv 82) (ID: 377),Gravel Terrace; Akaku Desert: Area 1; Akaku Desert: Area 2,Material,[]
1204,Scorpion Shell,6 Spina,7 Metal,,Rock Stinger(Lv 66) (ID: 360),Gravel Terrace,Material,[]
1205,Hard Scissor,8 Spina,8 Beast,,Rock Stinger(Lv 66) (ID: 360); Metal Stinger(Lv 82) (ID: 375); Metal Stinger(Lv 82) (ID: 377),Gravel Terrace; Akaku Desert: Area 1; Akaku Desert: Area 2,Material,[]
1206,Scimitar,60 Spina,30 Metal,Base ATK: 70; AGI %: 3; ATK %: 2; Dodge %: 4; Critical Rate: 13; Base Stability %: 80,Rock Stinger(Lv 66) (ID: 360),Gravel Terrace,1 Handed Sword,"['appearance/1 handed sword/scimitar_male', 'appearance/1 handed sword/scimitar_female']"
1207,Jade Raptor Armor Fur,8 Spina,8 Metal,,Jade Raptor(Lv 79) (ID: 361); Jade Raptor(Lv 69) (ID: 914); Jade Raptor(Lv 89) (ID: 915); Jade Raptor(Lv 99) (ID: 916); Jade Raptor(Lv 119) (ID: 917),Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace,Material,[]
1208,Jade Raptor Beak,Unknown,unknown,,Jade Raptor(Lv 79) (ID: 361); Jade Raptor(Lv 69) (ID: 914); Jade Raptor(Lv 89) (ID: 915); Jade Raptor(Lv 99) (ID: 916); Jade Raptor(Lv 119) (ID: 917),Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace,Material,[]
1209,Jade Raptor Horn,12 Spina,12 Beast,,Jade Raptor(Lv 79) (ID: 361); Jade Raptor(Lv 69) (ID: 914); Jade Raptor(Lv 89) (ID: 915); Jade Raptor(Lv 99) (ID: 916); Jade Raptor(Lv 119) (ID: 917),Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace,Material,[]
1210,Emeldia,Unknown,unknown,Base ATK: 65; STR %: 6; ASPD %: 20; Wind Element: 1; Attack MP Recovery: 3; Short Range Damage %: 3; Base Stability %: 90,Jade Raptor(Lv 79) (ID: 361); Jade Raptor(Lv 69) (ID: 914); Jade Raptor(Lv 89) (ID: 915); Jade Raptor(Lv 99) (ID: 916); Jade Raptor(Lv 119) (ID: 917),Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace; Gravel Terrace,Knuckles,"['appearance/knuckles/emeldia_male', 'appearance/knuckles/emeldia_female']"
